"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 07:42:02 UTC 2025","Thu Oct 09 07:42:02 UTC 2025","246","tests","test_pet_api","","","","test_get_pets_by_status",""
"passed","Thu Oct 09 07:42:18 UTC 2025","Thu Oct 09 07:42:18 UTC 2025","381","tests","test_store_api","","","","test_find_store_order_by_id",""
"passed","Thu Oct 09 07:42:18 UTC 2025","Thu Oct 09 07:42:18 UTC 2025","151","tests","test_store_api","","","","test_create_first_order",""
"passed","Thu Oct 09 07:42:02 UTC 2025","Thu Oct 09 07:42:05 UTC 2025","2977","tests","test_pet_api","","","","test_find_pet_by_id",""
"passed","Thu Oct 09 07:42:18 UTC 2025","Thu Oct 09 07:42:19 UTC 2025","1072","tests","test_store_api","","","","test_delete_purchase_order_by_id",""
"passed","Thu Oct 09 07:42:09 UTC 2025","Thu Oct 09 07:42:12 UTC 2025","3522","tests","test_pet_api","","","","test_delete_pet",""
"passed","Thu Oct 09 07:42:05 UTC 2025","Thu Oct 09 07:42:09 UTC 2025","3699","tests","test_pet_api","","","","test_update_pet_with_form",""
"passed","Thu Oct 09 07:42:01 UTC 2025","Thu Oct 09 07:42:02 UTC 2025","487","tests","test_pet_api","","","","test_update_pet",""
"passed","Thu Oct 09 07:42:18 UTC 2025","Thu Oct 09 07:42:18 UTC 2025","147","tests","test_store_api","","","","test_get_store_inventory",""
"passed","Thu Oct 09 07:42:01 UTC 2025","Thu Oct 09 07:42:01 UTC 2025","439","tests","test_pet_api","","","","test_add_pet",""
"passed","Thu Oct 09 07:42:12 UTC 2025","Thu Oct 09 07:42:18 UTC 2025","5497","tests","test_pet_api","","","","test_upload_pet_image",""
